Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,129.809998,136.889999,129.169998,136.490005,136.490005,805300
2019-05-07,134.869995,137.710007,130.899994,133.279999,133.279999,759200
2019-05-08,132.589996,135.470001,131.610001,133.100006,133.100006,612500
2019-05-09,131.000000,136.139999,127.139999,134.880005,134.880005,1071100
2019-05-10,134.250000,137.839996,130.279999,135.699997,135.699997,824900
2019-05-13,131.800003,134.000000,127.306999,127.839996,127.839996,1008600
2019-05-14,129.399994,134.690994,129.031006,133.339996,133.339996,1187900
2019-05-15,134.369995,141.440002,131.169998,138.440002,138.440002,1706800
2019-05-16,139.250000,148.000000,139.250000,146.860001,146.860001,2960900
2019-05-17,144.419998,148.000000,142.229996,145.740005,145.740005,1482200
2019-05-20,143.649994,145.919998,140.270004,145.050003,145.050003,1347100
2019-05-21,147.210007,148.000000,143.330002,144.399994,144.399994,1050600
2019-05-22,143.660004,145.820007,142.056000,142.460007,142.460007,579400
2019-05-23,141.000000,141.740997,136.509995,138.820007,138.820007,851400
2019-05-24,140.000000,143.800003,139.619995,139.770004,139.770004,680200
2019-05-28,140.529999,146.009995,139.600006,141.399994,141.399994,2539200
2019-05-29,139.899994,139.899994,135.860001,137.490005,137.490005,980800
2019-05-30,137.830002,140.809998,137.750000,139.990005,139.990005,703700
2019-05-31,137.750000,142.580002,136.000000,140.339996,140.339996,1194400
2019-06-03,140.300003,140.830002,129.600006,130.559998,130.559998,1745600
2019-06-04,134.570007,138.500000,131.600006,138.210007,138.210007,1211400
2019-06-05,140.899994,149.320007,140.100006,148.869995,148.869995,3077300
2019-06-06,145.949997,148.899994,135.000000,147.740005,147.740005,4472500
2019-06-07,147.330002,170.990005,147.186005,169.970001,169.970001,3932700
2019-06-10,172.264999,184.779999,168.067001,172.360001,172.360001,3394500
2019-06-11,172.000000,172.410004,159.589996,163.029999,163.029999,2196400
2019-06-12,163.699997,167.000000,161.509995,166.320007,166.320007,962800
2019-06-13,166.750000,167.899994,164.380005,166.960007,166.960007,791200
2019-06-14,166.750000,167.759995,163.544998,165.679993,165.679993,520700
2019-06-17,165.250000,170.539993,163.639008,164.970001,164.970001,1548100
2019-06-18,169.000000,171.470001,166.324005,166.360001,166.360001,1526800
2019-06-19,170.509995,174.449997,168.009995,174.009995,174.009995,1359100
2019-06-20,176.830002,177.490005,171.539993,173.740005,173.740005,1145100
2019-06-21,171.820007,172.548996,166.341003,169.869995,169.869995,2289300
2019-06-24,170.229996,170.639999,164.119995,165.300003,165.300003,1159700
2019-06-25,165.940002,165.940002,155.639999,158.589996,158.589996,1266100
2019-06-26,160.500000,161.753006,150.291000,150.690002,150.690002,1623700
2019-06-27,150.880005,153.352005,148.039993,151.490005,151.490005,2045100
2019-06-28,151.910004,152.781998,145.259995,152.089996,152.089996,3847000
2019-07-01,155.320007,155.320007,143.850006,147.669998,147.669998,2665400
2019-07-02,145.619995,154.410004,144.380005,154.050003,154.050003,2310000
2019-07-03,155.440002,158.449997,153.460007,154.979996,154.979996,1866900
2019-07-05,152.419998,156.020004,151.339996,155.899994,155.899994,993900
2019-07-08,154.940002,158.679993,153.009995,157.039993,157.039993,952100
2019-07-09,156.559998,158.069000,154.389999,157.720001,157.720001,790700
2019-07-10,159.000000,161.384995,156.440002,157.229996,157.229996,1102500
2019-07-11,157.259995,159.330002,154.330002,158.039993,158.039993,1057600
2019-07-12,157.240005,158.492004,151.029999,153.100006,153.100006,1303400
2019-07-15,153.289993,157.100006,152.397995,153.169998,153.169998,1539000
2019-07-16,153.050003,155.464996,146.649994,151.789993,151.789993,1676300
2019-07-17,152.399994,161.770004,151.570007,160.789993,160.789993,1916000
2019-07-18,159.770004,163.169998,157.149994,162.929993,162.929993,1430400
2019-07-19,164.880005,166.410004,161.000000,164.000000,164.000000,1338500
2019-07-22,164.389999,166.304993,160.229996,160.860001,160.860001,1337000
2019-07-23,162.559998,163.100006,154.343994,155.970001,155.970001,1481800
2019-07-24,155.119995,158.000000,152.186005,156.020004,156.020004,2534800
2019-07-25,156.000000,158.580002,153.330002,155.699997,155.699997,970700
2019-07-26,156.729996,159.500000,155.500000,158.059998,158.059998,954700
2019-07-29,157.899994,158.520004,143.449997,144.889999,144.889999,3530800
